studentID,LAB – TBC2 – TBC3 – TBC1,TBC2 – LAB – TBC1 – TBC3,TBC3 – TBC1 – LAB – TBC2,TBC1 – TBC3 – TBC2 – LAB,optimal_rotation,rotation_order
1,0,0,12,12,Option 4,TBC1 – TBC3 – TBC2 – LAB
2,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
3,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
4,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
5,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
6,0,3,6,15,Option 4,TBC1 – TBC3 – TBC2 – LAB
7,0,12,12,0,Option 2,TBC2 – LAB – TBC1 – TBC3
8,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
9,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
10,0,1,12,11,Option 1,LAB – TBC2 – TBC3 – TBC1
11,1,2,14,7,Option 1,LAB – TBC2 – TBC3 – TBC1
12,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
13,0,10,14,0,Option 2,TBC2 – LAB – TBC1 – TBC3
14,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
15,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
16,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
17,0,8,4,12,Option 4,TBC1 – TBC3 – TBC2 – LAB
18,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
19,0,1,0,23,Option 4,TBC1 – TBC3 – TBC2 – LAB
20,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
21,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
22,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
23,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
24,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
25,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
26,0,6,18,0,Option 1,LAB – TBC2 – TBC3 – TBC1
27,24,0,0,0,Option 1,LAB – TBC2 – TBC3 – TBC1
28,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
29,0,0,20,4,Option 1,LAB – TBC2 – TBC3 – TBC1
30,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
31,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
32,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
33,0,23,1,0,Option 2,TBC2 – LAB – TBC1 – TBC3
34,0,0,12,12,Option 4,TBC1 – TBC3 – TBC2 – LAB
35,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
36,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
37,1,6,17,0,Option 1,LAB – TBC2 – TBC3 – TBC1
38,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
39,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
40,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
41,0,8,15,1,Option 1,LAB – TBC2 – TBC3 – TBC1
42,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
43,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
44,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
45,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
46,1,15,1,7,Option 2,TBC2 – LAB – TBC1 – TBC3
47,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
48,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
49,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
50,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
51,0,8,8,8,Option 1,LAB – TBC2 – TBC3 – TBC1
52,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
53,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
54,0,6,16,2,Option 1,LAB – TBC2 – TBC3 – TBC1
55,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
56,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
57,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
58,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
59,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
60,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
61,0,0,23,1,Option 1,LAB – TBC2 – TBC3 – TBC1
62,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
63,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
64,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
65,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
66,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
67,0,22,1,1,Option 2,TBC2 – LAB – TBC1 – TBC3
68,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
69,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
70,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
71,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
72,0,0,12,12,Option 1,LAB – TBC2 – TBC3 – TBC1
73,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
74,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
75,0,21,2,1,Option 2,TBC2 – LAB – TBC1 – TBC3
76,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
77,0,11,12,1,Option 2,TBC2 – LAB – TBC1 – TBC3
